#,Name,Category,Type,What It Does,Gap / Why Now,Price,Revenue Model,Build Time,Tech Stack,Viral Potential,Effort,Status,Notes
15,TutorPad,Niche SaaS,Web SaaS,"AI worksheet & quiz generator. 'Generate 10 algebra problems, 8th grade'. Auto-generates printable PDF with answer key.","Teachers manually create worksheets. No simple AI tool for this. 1M+ private tutors in US alone.",$9/mo,Recurring MRR,3 weeks,"LLM, PDF generation, web dashboard",Low,Low-Medium,Not Started,Could expand to full tutor management platform.
16,TypeVibe,Fun / Novelty,Mac App,"Ambient soundscapes that react to typing rhythm. Rain intensity follows typing speed. Pausing fades to silence. Fast coding builds crescendo.","Haptyk does keyboard sounds. Nobody does reactive ambient soundscapes tied to work rhythm.",$5 one-time,One-time,1 week,"Accelerometer, keystroke monitoring, AVAudioEngine, menu bar",Medium,Low,Not Started,Great complement to MacTap using same tech.
17,PetBar,Fun / AI,Mac App,"Pixel pet in menu bar powered by Foundation Models. Has personality, opinions about your work habits. Feed it by completing focus sessions.","Mac Pet exists but is just a Pomodoro timer. No desktop pet uses on-device AI for actual personality.",$5 one-time,One-time + pet skins IAP,2 weeks,"Foundation Models, SpriteKit, Screen Time API, SwiftUI, menu bar",High,Low,Not Started,High shareability. Pet skins as upsell.
18,ContractScan,AI Utility,Mac App or SaaS,"Upload PDF contract. AI highlights risky clauses in plain English. 'This clause means they own everything you create.'","Freelancers sign bad contracts. Lawyer review = $200+. No affordable tool gives plain-English risk summary.",$9/mo or $15 one-time,Either,3 weeks,"Foundation Models or LLM API, PDFKit, Vision (OCR), SwiftUI",Low,Medium,Not Started,Can be local Mac app (Foundation Models) or web SaaS.
19,MenuDigi,Niche SaaS,Web SaaS,"Snap photo of paper menu. OCR extracts items. Generates hosted digital menu with QR code. Restaurant updates via simple dashboard.","Small restaurants use paper menus or bad PDFs. No photo-to-digital-menu tool. 1M+ small restaurants in US.",$9/mo per restaurant,Recurring MRR,3 weeks,"Vision/OCR API, web hosting, QR generation, simple CMS",Low,Medium,Not Started,B2B recurring revenue. High retention once adopted.
20,WhodUnit,Developer Tool,VS Code Extension,Point at any line of code. AI reads the commit + PR + surrounding context. Explains WHY the code was changed in plain English.,"git blame tells WHO not WHY. No tool explains reasoning behind code changes.",$ 8 one-time,One-time,2 weeks,"Git APIs, LLM, VS Code Extension API",Medium,Low,Not Started,Could also be a Mac app or CLI tool.
21,PantryLens,AI / Lifestyle,iOS App,"Camera scans fridge/pantry. Vision identifies ingredients. Foundation Models generates recipes from what you have. Tracks expiration.","Existing recipe apps need manual input. No camera-based + on-device AI recipe generation. Food waste = $400B problem.",Free / $3.99/mo,Freemium,6-8 weeks,"Vision, Foundation Models, SwiftUI, SwiftData, WidgetKit, CloudKit",Medium,Medium-High,Not Started,Foundation Models = zero API cost for recipe generation.
22,VitalGlance,AI / Health,iOS + Watch App,"Aggregates all Apple Health data into widget-first dashboard. Foundation Models generates daily health briefing in plain English.","Apple Health is data-rich but insight-poor. Window before Apple ships Health+ (rumored late 2026).",$4.99/mo or $39.99/yr,Subscription,5-7 weeks,"HealthKit, Foundation Models, WidgetKit, WatchKit, Charts, SwiftUI",Low,Medium-High,Not Started,Time-sensitive: beat Apple Health+ to market.
23,MicroHabit,AI / Health,iOS App,"Learns phone usage patterns. Finds optimal 2-minute windows for micro-habits. Live Activity nudges at perfect moments.","Habit apps remind at fixed times. None analyze behavior to find when you're most receptive. Called out in 'ideas that don't exist' lists.",$2.99/mo or $19.99/yr,Subscription,4-6 weeks,"Foundation Models, DeviceActivity, ActivityKit, WidgetKit, SwiftUI",Low,Medium,Not Started,Novel concept with zero competition.
24,DeskStretch,Health / Watch,watchOS + iOS App,"Detects sedentary periods via Watch sensors. Guides 60-second desk stretches with haptic coaching. Tracks mobility score over time.","Apple's Stand reminders are binary. No watch-first guided movement app. Remote work = huge TAM.",$1.99/mo or $14.99/yr,Subscription,4-5 weeks,"WatchKit, HealthKit, CoreMotion, SwiftUI, haptic feedback",Low,Medium,Not Started,Watch-first differentiator in growing market.
25,ReceiptVault,AI Utility,iOS App,"Snap receipt photo. Vision extracts merchant/date/items/total. Auto-categorizes expenses. Tracks warranty periods. Live Activity alerts.","Receipt apps are clunky or business-focused. No simple consumer app combines OCR + warranty tracking + Live Activities.",Free / $2.99/mo,Freemium,5-6 weeks,"Vision (OCR), Foundation Models, ActivityKit, SwiftData, WidgetKit",Low,Medium,Not Started,Perennial need. Tax season drives downloads.
26,FocusTide,Productivity,iOS App,"Pomodoro timer in Dynamic Island. Layerable ambient sounds. Integrates with Apple Music. Logs focus as HealthKit mindful minutes.",$3.99 one-time,One-time + sound IAPs,3-4 weeks,Few Pomodoro apps use Dynamic Island well. None combine ambient audio + Dynamic Island + HealthKit.,"ActivityKit, AVFoundation, HealthKit, MusicKit, WidgetKit, SwiftUI",Medium,Low,Not Started,Quickest iOS app to ship. Proven demand.
27,PlantPal,AI / Lifestyle,iOS App,"Camera identifies plants on-device. Generates care schedule based on your location's climate via WeatherKit. Watering reminders via widgets.","PictureThis charges $30+/yr and uses cloud. On-device = faster, private, cheaper. Plant parents are passionate niche.",$4.99 one-time or $1.99/mo,One-time or Sub,6-8 weeks,"Vision, CreateML, Foundation Models, CoreLocation, WeatherKit, WidgetKit",Medium,Medium-High,Not Started,Model training is longest part. Could use existing open models.
28,QuietPages,AI / Lifestyle,iOS App,"Scan book ISBN. Track reading sessions. After finishing Foundation Models generates discussion questions and theme analysis. Reading streak widget.","Goodreads is universally hated. No reading tracker uses on-device AI for book analysis. BookTok community is massive.",Free / $2.99/mo,Freemium,5-7 weeks,"Vision (barcode), Foundation Models, WidgetKit, SwiftData, CloudKit",Medium,Medium,Not Started,BookTok/reading community is highly engaged and vocal.
29,NapWise,Health / Watch,watchOS + iOS App,"Smart power nap timer. Detects actual sleep onset via Watch biometrics. Wakes at optimal sleep cycle point. Logs to HealthKit.",$3.99 one-time,One-time,4-6 weeks,"No nap-specific app uses real Watch biometric data for optimal wake timing. All timers are dumb countdowns.","WatchKit, HealthKit, CoreMotion, WKExtendedRuntimeSession, SwiftUI",Low,Medium,Not Started,Simple concept with real value. Watch-first.
30,BillSplit Live,Fun / Utility,iOS App,"Scan restaurant receipt. Diners join via SharePlay. Each taps their items. Calculates individual totals with tax/tip. Live Activity for all.",Free + $1.99 remove ads,One-time,5-7 weeks,"Splitwise is for IOUs. No app combines receipt OCR + SharePlay for real-time collaborative splitting. Constant Reddit request.","Vision (OCR), SharePlay, ActivityKit, MultipeerConnectivity, SwiftUI",High,Medium,Not Started,Viral potential via SharePlay group sessions.
31,GearScore,AI / Utility,iOS App,"Point camera at electronics. Vision identifies model. Gives instant fair-market resale price. AR overlay shows price floating above device.",Free / $1.99/mo,Freemium,6-8 weeks,"No point-and-scan pricing app for used electronics. Perfect for garage sales and Marketplace meetups.","Vision, ARKit, Foundation Models, Speech framework, SwiftUI",Medium,Medium-High,Not Started,Needs price data API. Could scrape eBay/Swappa.
32,ShortcutCraft,Utility / AI,iOS App,Visual Siri Shortcuts builder + curated library. Describe what you want in English and AI builds the shortcut. Community marketplace.,Free / $4.99/mo,Subscription,8-10 weeks,"Apple's Shortcuts app is powerful but intimidating. No good Shortcuts marketplace. iOS 26 added AI shortcuts.","Foundation Models, SiriKit, App Intents, SwiftUI, CloudKit, StoreKit 2",Medium,High,Not Started,Longer build but high ceiling. iOS 26 momentum.
33,MoveMap,Fitness / AR,iOS App,"Create walking/running routes with AR waypoints. Others follow with AR arrows overlaid on camera. Community-created walking directions.",Free / $2.99/mo to create routes,Freemium,8-10 weeks,"Google/Apple Maps optimize for cars. No AR walking route creator. Tourism + fitness communities would love this.","ARKit, RealityKit, MapKit, CoreLocation, CloudKit, HealthKit, ActivityKit",Medium,High,Not Started,Longer build. Strong community moat once established.
34,NoobQA,Developer Tool / SaaS,Mac App + SaaS,"AI-powered QA agent for iOS apps. Describe tests in plain English. Claude autonomously navigates app in Simulator, verifies functionality, generates pass/fail reports. Learns from past runs.","No autonomous AI QA tool for iOS exists. Competitors: Appium (manual scripts), XCUITest (code-heavy), Maestro (YAML scripts), QA Wolf ($4K+/mo web-only), TestRigor (~$500/mo). NoobQA = zero scripting, plain English, sees inside app via NooberMCP.","$29/mo indie | $99/mo team | $299/mo pro",Recurring MRR,Already built,"Swift, Claude API (claude run), NooberMCP, Figma MCP, Linear MCP, Slack MCP, SwiftUI, GitHub Actions",Medium-High,Already Done,In Progress — Monetize,"ALREADY BUILT. Core product feature-complete. Has: dual-mode testing (Simulator + Dev), learned lessons, CI/CD template, integrations (Linear/Slack/Figma), onboarding wizard, CLI tool, git hooks. Website on Vercel. Revenue potential: 200 indie + 50 team + 10 pro = ~$15K MRR."
35,Noober SDK,Developer Tool / SaaS,iOS SDK + Mac Companion,"In-app debugging SDK for iOS. Network inspector, log viewer, environment switcher, mock rules, flow recorder. Companion Mac app for remote debugging.","Existing tools: Flipper (Meta, deprecated vibes), FLEX (open-source but unmaintained), Proxyman ($69-$89 for network only). No all-in-one debugging SDK with companion app + MCP bridge for AI agents.","$15/mo indie | $49/mo team | Free tier (limited)",Recurring MRR or Freemium,Already built,"Swift, SwiftUI, Bonjour/Network.framework, URLProtocol, MCP server",Medium,Already Done,In Progress — Monetize,"ALREADY BUILT. Has: network inspection, log viewer, environment switching, mock/intercept rules, flow recorder, deep link tester, companion Mac app, MCP server for AI agents. Unique moat: MCP bridge enables AI testing (NoobQA depends on it)."
